date,close,open,high,low,changePercent
10-06-2021,126.11,127.02,128.19,125.94,-0.008
11-06-2021,127.35,126.53,127.44,126.1,0.0098
14-06-2021,130.48,127.82,130.54,127.07,0.0246
15-06-2021,129.64,129.94,130.6,129.39,-0.0064
16-06-2021,130.15,130.37,130.89,128.461,0.0039
17-06-2021,131.79,129.8,132.55,129.65,0.0126
18-06-2021,130.46,130.71,131.51,130.24,-0.0101
21-06-2021,132.3,130.3,132.41,129.21,0.0141
22-06-2021,133.98,132.13,134.08,131.62,0.0127
23-06-2021,133.7,133.77,134.32,133.23,-0.0021
24-06-2021,133.41,134.45,134.64,132.93,-0.0022
25-06-2021,133.11,133.46,133.89,132.81,-0.0022
28-06-2021,134.78,133.41,135.245,133.35,0.0125
29-06-2021,136.33,134.8,136.49,134.35,0.0115
30-06-2021,136.96,136.17,137.41,135.87,0.0046
01-07-2021,137.27,136.6,137.33,135.76,0.0023
02-07-2021,139.96,137.9,140,137.745,0.0196
06-07-2021,142.02,140.07,143.15,140.07,0.0147
07-07-2021,144.57,143.535,144.89,142.66,0.018
08-07-2021,143.24,141.58,144.06,140.665,-0.0092
09-07-2021,145.11,142.75,145.65,142.6522,0.0131
12-07-2021,144.5,146.21,146.32,144,-0.0042
13-07-2021,145.64,144.03,147.46,143.63,0.0079
14-07-2021,149.15,148.1,149.57,147.68,0.0241
15-07-2021,148.48,149.24,150,147.09,-0.0045
16-07-2021,146.39,148.46,149.76,145.88,-0.0141
19-07-2021,142.45,143.75,144.07,141.67,-0.0269
20-07-2021,146.15,143.46,147.0997,142.96,0.026
21-07-2021,145.4,145.53,146.13,144.63,-0.0051
22-07-2021,146.8,145.935,148.195,145.81,0.0096
23-07-2021,148.56,147.55,148.7177,146.92,0.012
26-07-2021,148.99,148.27,149.83,147.7,0.0029
27-07-2021,146.77,149.12,149.21,145.55,-0.0149
28-07-2021,144.98,144.81,146.97,142.54,-0.0122
29-07-2021,145.64,144.685,146.55,144.58,0.0046
30-07-2021,145.86,144.38,146.33,144.11,0.0015
02-08-2021,145.52,146.36,146.95,145.25,-0.0023
03-08-2021,147.36,145.81,148.045,145.18,0.0126
04-08-2021,146.95,147.27,147.79,146.28,-0.0028
05-08-2021,147.06,146.98,147.84,146.17,0.0007
06-08-2021,146.14,146.35,147.11,145.63,-0.0063
09-08-2021,146.09,146.2,146.7,145.52,-0.0003
10-08-2021,145.6,146.44,147.71,145.3,-0.0034
11-08-2021,145.86,146.05,146.72,145.53,0.0018
12-08-2021,148.89,146.19,149.05,145.84,0.0208
13-08-2021,149.1,148.97,149.4444,148.27,0.0014
16-08-2021,151.12,148.535,151.19,146.47,0.0135
17-08-2021,150.19,150.23,151.68,149.09,-0.0062
18-08-2021,146.36,149.8,150.72,146.15,-0.0255
19-08-2021,146.7,145.03,148,144.5,0.0023
20-08-2021,148.19,147.44,148.5,146.78,0.0102
23-08-2021,149.71,148.31,150.19,147.89,0.0103
24-08-2021,149.62,149.45,150.86,149.15,-0.0006
